HFT_TREATMENT_ID,ALGORITHM,F1_SCORE,ACCURACY
1119,RF,0.894337665032553,0.905472637
1120,RF,0.917335953520164,0.928940568
1121,RF,0.899531572376053,0.915300546
1122,RF,0.910723531816324,0.985042735
1123,RF,0.906933609127805,0.944214876
1124,DT,0.933326070378037,0.941176471
1125,RF,0.88663967611336,0.925213675
1126,RF,0.900818713450292,0.977987421
1129,RF,0.878508264075144,0.892094017
1130,RF,0.892702980472765,0.931034483
1131,RF,0.899656744401005,0.917938931
1132,RF,0.928099332219125,0.977459016
1133,RF,0.903269144648455,0.939393939
1134,RF,0.900498831440465,0.922782875
1137,RF,0.883254514522951,0.892676768
1139,RF,0.936260288848436,0.94
1140,RF,0.917850824865265,0.932291667
1142,DT,0.911142282478278,0.920091324
1143,RF,0.870260169293572,0.9375
1144,RF,0.900160899541717,0.920411985
1146,RF,0.899926347726673,0.928571429
1147,RF,0.875163086772143,0.87962963
1148,RF,0.92516745245126,0.933531746
1204,RF,0.882339757956073,0.927083333
1205,RF,0.891324208168162,0.894444444
1206,RF,0.910835058661146,0.953431373
1207,DT,0.914001327140013,0.9296875
1208,DT,0.869112494332001,0.972222222
1211,RF,0.896172661870503,0.896464646
1212,DT,0.880626809062781,0.937198068
1213,RF,0.880837359098229,0.903645833
1214,RF,0.934469510305198,0.967299578
1215,ADA,0.922398589065256,0.977272727
1216,RF,0.917052425754938,0.923958333
1220,DT,0.914072685788787,0.914414414
1221,DT,0.875032749526677,0.917708333
1222,RF,0.86836797694999,0.894871795
1223,RF,0.943001443001443,0.985232068
1224,DT,0.896547812606345,0.917763158
1225,RF,0.887782922643526,0.979166667
1226,RF,0.868980863373387,0.928125
1228,RF,0.888384652889772,0.919270833
1234,RF,0.885836547733848,0.911255411
1315,RF,0.905608479806789,0.912935323
