TREATMENT_ID,THRESHOLD,ALGORITHM,F1_SCORE,ACCURACY
1211,8732,KNN,0.326530612244898,0.484848484848485
1211,8732,LR,0.719552110249785,0.71969696969697
1211,8732,NN,0.326530612244898,0.484848484848485
1211,8732,RF,0.896172661870503,0.896464646464647
1211,8732,SGD,0.376389313394287,0.508838383838384
1211,8732,SVC,0.34,0.515151515151515
1212,5902,ADA,0.69055241372502,0.871980676328502
1212,5902,DT,0.880626809062781,0.93719806763285
1212,5902,KNN,0.452380952380952,0.826086956521739
1212,5902,LR,0.667063976448625,0.864734299516908
1212,5902,NN,0.452380952380952,0.826086956521739
1212,5902,RF,0.875561100792559,0.935990338164251
1212,5902,SGD,0.30917471338137,0.309178743961353
1212,5902,SVC,0.452380952380952,0.826086956521739
1213,8975,ADA,0.597032933374173,0.743489583333333
1213,8975,DT,0.859952506131381,0.884114583333333
1213,8975,KNN,0.412844036697248,0.703125
1213,8975,LR,0.645277725507638,0.75390625
1213,8975,NN,0.412844036697248,0.703125
1213,8975,RF,0.880837359098229,0.903645833333333
1213,8975,SGD,0.646082949308756,0.71875
1213,8975,SVC,0.412844036697248,0.703125
1214,6579,ADA,0.651451310099791,0.880801687763713
1214,6579,DT,0.902186341210732,0.94831223628692
1214,6579,KNN,0.131868131868132,0.151898734177215
1214,6579,LR,0.640129003856718,0.874472573839662
1214,6579,NN,0.131868131868132,0.151898734177215
1214,6579,RF,0.934469510305198,0.967299578059072
1214,6579,SGD,0.20679230489205,0.212025316455696
1214,6579,SVC,0.458904109589041,0.848101265822785
1215,8256,ADA,0.922398589065256,0.977272727272727
1215,8256,DT,0.816666666666667,0.939393939393939
1215,8256,KNN,0.476190476190476,0.909090909090909
1215,8256,LR,0.472,0.893939393939394
1215,8256,NN,0.476190476190476,0.909090909090909
1215,8256,RF,0.891803278688525,0.96969696969697
1215,8256,SGD,0.472,0.893939393939394
1215,8256,SVC,0.476190476190476,0.909090909090909
1216,7038,ADA,0.782370233864245,0.80625
1216,7038,DT,0.89939227944077,0.907291666666667
1216,7038,KNN,0.259259259259259,0.35
1216,7038,LR,0.762831845609316,0.786458333333333
1216,7038,NN,0.259259259259259,0.35
1216,7038,RF,0.917052425754938,0.923958333333333
1216,7038,SGD,0.393403260457475,0.416666666666667
1216,7038,SVC,0.393939393939394,0.65
1220,8772,ADA,0.746271215498028,0.746621621621622
1220,8772,DT,0.914072685788787,0.914414414414414
1220,8772,KNN,0.314814814814815,0.45945945945946
1220,8772,LR,0.731322335903017,0.731981981981982
1220,8772,NN,0.314814814814815,0.45945945945946
1220,8772,RF,0.885003885003885,0.885135135135135
1220,8772,SGD,0.314814814814815,0.45945945945946
1220,8772,SVC,0.350877192982456,0.540540540540541
1221,10835,ADA,0.482012997994733,0.790625
1221,10835,DT,0.875032749526677,0.917708333333333
1221,10835,KNN,0.440559440559441,0.7875
1221,10835,LR,0.495750167128259,0.79375
1221,10835,NN,0.440559440559441,0.7875
1221,10835,RF,0.861651534803286,0.9125
1221,10835,SGD,0.591639163916392,0.728125
1221,10835,SVC,0.440559440559441,0.7875
1222,8725,ADA,0.65089371589643,0.758974358974359
1222,8725,DT,0.859186503488596,0.883333333333333
1222,8725,KNN,0.26120218579235,0.283333333333333
1222,8725,LR,0.624999094025643,0.744871794871795
1222,8725,NN,0.414414414414414,0.707692307692308
1222,8725,RF,0.86836797694999,0.894871794871795
1222,8725,SGD,0.516627736290398,0.516666666666667
1222,8725,SVC,0.414414414414414,0.707692307692308
1223,9147,ADA,0.854340588988476,0.965189873417722
1223,9147,DT,0.90745200130166,0.974683544303797
1223,9147,KNN,0.480263157894737,0.924050632911392
1223,9147,LR,0.816497004650609,0.958860759493671
1223,9147,NN,0.0873009136194071,0.0907172995780591
1223,9147,RF,0.943001443001443,0.985232067510548
1223,9147,SGD,0.655773420479303,0.892405063291139
1223,9147,SVC,0.480263157894737,0.924050632911392
1224,8468,ADA,0.72039721750407,0.809210526315789
1224,8468,DT,0.896547812606345,0.917763157894737
1224,8468,KNN,0.419847328244275,0.723684210526316
1224,8468,LR,0.666082761393332,0.776315789473684
1224,8468,NN,0.22461651586021,0.269736842105263
1224,8468,RF,0.886626960086232,0.913377192982456
1224,8468,SGD,0.231634732980024,0.286184210526316
1224,8468,SVC,0.419847328244275,0.723684210526316
1225,9213,ADA,0.486486486486487,0.947368421052632
1225,9213,DT,0.872296124927704,0.974780701754386
1225,9213,KNN,0.486486486486487,0.947368421052632
1225,9213,LR,0.635878660199288,0.948464912280702
1225,9213,NN,0.486486486486487,0.947368421052632
1225,9213,RF,0.887782922643526,0.979166666666667
1225,9213,SGD,0.547376570781967,0.917763157894737
1225,9213,SVC,0.486486486486487,0.947368421052632
1226,7950,ADA,0.448275862068966,0.8125
1226,7950,DT,0.853462397617275,0.914583333333333
1226,7950,KNN,0.448275862068966,0.8125
1226,7950,LR,0.448275862068966,0.8125
1226,7950,NN,0.448275862068966,0.8125
1226,7950,RF,0.868980863373387,0.928125
1226,7950,SGD,0.58023995429442,0.701041666666667
1226,7950,SVC,0.490989010989011,0.597916666666667
1228,8813,ADA,0.744458874923524,0.838541666666667
1228,8813,DT,0.864110265228162,0.8984375
1228,8813,KNN,0.189192568154193,0.208333333333333
1228,8813,LR,0.699244755244755,0.817708333333333
1228,8813,NN,0.189873417721519,0.234375
1228,8813,RF,0.888384652889772,0.919270833333333
1228,8813,SGD,0.672631710674509,0.716145833333333
